army,unit_name,weapon_name,count
Tom,Eldrad Ulthran,Mind War,
Tom,Eldrad Ulthran,Shuriken Pistol,
Tom,Eldrad Ulthran,Staff of Ulthamar and witchblade,
Tom,Spiritseer,Witch Staff,
Tom,Guardian Defenders,Shuriken Catapult,10
Tom,Guardian Defenders,Bright Lance,1
Tom,Guardian Defenders,Close Combat Weapon [Guardian Defenders],
Tom,Storm Guardians,Shuriken Catapult,8
Tom,Storm Guardians,Flamer [Storm Guardians],2
Tom,Storm Guardians,Fusion gun,2
Tom,Storm Guardians,Power sword [Storm Guardians],2
Tom,Storm Guardians,Close Combat Weapon [Guardian Defenders],8
Tom,Wraithblades,Ghostaxe,
Tom,Wraithguard (D-Scythe),D-Scythe,
Tom,Wraithguard (D-Scythe),Close Combat Weapon [Wraithguard],
Tom,Wraithguard (Wraithcannon),Wraithcannon,
Tom,Wraithguard (Wraithcannon),Close Combat Weapon [Wraithguard],
Tom,Windriders,Twin shuriken catapult,
Tom,Windriders,Close Combat Weapon [Windriders],
Tom,Wraithknight with Ghostglaive,Shuriken Cannon [Wraithknight with Ghostglaive],
Tom,Wraithknight with Ghostglaive,Titanic Ghostglaive - Strike,
Tom,Wraithknight with Ghostglaive,Titanic Ghostglaive - Sweep,
Tom,Wraithlord,Flamer [Wraithlord],
Tom,Wraithlord,Shuriken Cannon [Wraithlord],
Tom,Wraithlord,Ghostglaive Strike,
Tom,Wraithlord,Ghostglaive Sweep,
Alf,Lucius the Eternal,Blade of the Laer,
Alf,Lucius the Eternal,Lash of Torment,
Alf,Daemon Prince of Slaanesh with Wings,Infernal cannon,
Alf,Daemon Prince of Slaanesh with Wings,Hellforged weapons - strike,
Alf,Daemon Prince of Slaanesh with Wings,Hellforged weapons - sweep,
Alf,Lord Exultant,Bolt pistol [Lord Exultant],
Alf,Lord Exultant,Phoenix power spear [Lord Exultant],
Alf,Lord Exultant,Rapture lash [Lord Exultant],
Alf,Lord Exultant,Close Combat Weapon [Lord Exultant],
Alf,Lord Exultant (Euphoric Crown),Phoenix power spear [Lord Exultant (Euphoric Crown)],
Alf,Lord Exultant (Euphoric Crown),Rapture lash [Lord Exultant (Euphoric Crown)],
Alf,Lord Exultant (Euphoric Crown),Close Combat Weapon [Lord Exultant (Euphoric Crown)],
Alf,Lord Kakophonist,Screamer pistol,
Alf,Lord Kakophonist,Close Combat Weapon [Lord Kakophonist],
Alf,Infractors,Bolt pistol [Infractors],4
Alf,Infractors,Plasma pistol - standard [Infractors],1
Alf,Infractors,Plasma pistol - supercharge [Infractors],1
Alf,Infractors,Rapture lash [Infractors],1
Alf,Infractors,Duelling sabre,4
Alf,Tormentors,Boltgun,2
Alf,Tormentors,Plasma pistol - standard [Tormentors],1
Alf,Tormentors,Plasma pistol - supercharge [Tormentors],1
Alf,Tormentors,Meltagun,1
Alf,Tormentors,Plasma gun - standard,1
Alf,Tormentors,Plasma gun - supercharge,1
Alf,Tormentors,Power sword [Tormentors],1
Alf,Tormentors,Close Combat Weapon [Tormentors],4
Alf,Flawless Blades,Bolt pistol [Flawless Blades],
Alf,Flawless Blades,Blissblade,
Alf,Noise Marines,Sonic blaster,3
Alf,Noise Marines,Blastmaster - varied frequency,2
Alf,Noise Marines,Blastmaster - single frequency,2
